symptoms,symptom_count,disease,severity
"back pain, blurred vision",2,Common Cold,mild
"swelling, frequent urination, excessive thirst, abdominal pain",4,GERD,mild
"frequent urination, shortness of breath",2,Hypertension,severe
"abdominal pain, joint pain, insomnia, swelling",4,GERD,moderate
"dizziness, chest pain",2,Migraine,moderate
"sore throat, abdominal pain, cough, anxiety, numbness",5,Anemia,mild
"insomnia, fever, cough, anxiety, sweating",5,Anemia,mild
"insomnia, palpitations",2,Cardiac Arrhythmia,mild
"chest pain, vomiting, anxiety, excessive thirst",4,Hypothyroidism,mild
"nausea, insomnia, chest pain, joint pain",4,Hypothyroidism,mild
"headache, vomiting",2,Common Cold,mild
"headache, sweating, abdominal pain, nausea, sore throat",5,Hypertension,mild
"anxiety, headache, palpitations",3,Anemia,mild
"headache, nausea, back pain",3,GERD,severe
"nausea, excessive thirst, numbness, joint pain, fatigue",5,GERD,mild
"insomnia, blurred vision, frequent urination, palpitations, headache",5,Common Cold,severe
"anxiety, weight loss, insomnia, fever, dizziness",5,Anxiety Disorder,mild
"insomnia, anxiety, headache, fatigue, dizziness",5,GERD,mild
"chest pain, anxiety, insomnia",3,Cardiac Arrhythmia,moderate
"joint pain, rash, fever, vomiting",4,Hypothyroidism,mild
"anxiety, sweating, numbness",3,Hypertension,moderate
"fever, swelling",2,Common Cold,moderate
"back pain, headache",2,Anemia,severe
"chest pain, anxiety, fever, weight loss, frequent urination",5,Diabetes,moderate
"dizziness, back pain, sore throat, numbness",4,Hypothyroidism,moderate
"rash, headache, palpitations, weight loss",4,Anxiety Disorder,mild
"sweating, rash, frequent urination, fatigue, dizziness",5,GERD,severe
"vomiting, sweating, numbness, fatigue, weight loss",5,Common Cold,mild
"blurred vision, numbness, rash, vomiting",4,Diabetes,mild
"anxiety, palpitations, frequent urination, insomnia",4,Diabetes,mild
"nausea, frequent urination",2,Common Cold,severe
"back pain, palpitations",2,Anemia,mild
"numbness, fatigue",2,GERD,mild
"insomnia, frequent urination, dizziness, vomiting, abdominal pain",5,Diabetes,mild
"weight loss, fatigue",2,Hypertension,severe
"chest pain, frequent urination",2,Anemia,mild
"back pain, shortness of breath, swelling, excessive thirst",4,Anemia,moderate
"palpitations, sore throat",2,Diabetes,moderate
"blurred vision, fever, chest pain, weight loss",4,Diabetes,severe
"fever, abdominal pain, dizziness, palpitations, fatigue",5,Hypertension,mild
"excessive thirst, palpitations, nausea, insomnia",4,GERD,mild
"weight loss, palpitations, fever, frequent urination",4,Cardiac Arrhythmia,moderate
"sweating, blurred vision, weight loss, numbness, vomiting",5,Hypertension,mild
"excessive thirst, chest pain",2,Anxiety Disorder,moderate
"dizziness, nausea, fever, shortness of breath, headache",5,Anemia,mild
"sweating, excessive thirst, insomnia, vomiting",4,Migraine,moderate
"chest pain, sweating, blurred vision, abdominal pain, cough",5,Anxiety Disorder,moderate
"dizziness, insomnia, swelling, frequent urination, anxiety",5,Diabetes,mild
"abdominal pain, palpitations, frequent urination, weight loss",4,GERD,mild
"back pain, palpitations, joint pain",3,Migraine,mild
"headache, insomnia, numbness, cough, sweating",5,Influenza,severe
"frequent urination, anxiety",2,Migraine,severe
"vomiting, frequent urination",2,Cardiac Arrhythmia,mild
"swelling, anxiety, chest pain, joint pain, fever",5,Migraine,mild
"excessive thirst, joint pain, dizziness",3,Migraine,mild
"palpitations, frequent urination",2,Anemia,mild
"vomiting, blurred vision",2,Diabetes,moderate
"shortness of breath, insomnia",2,Influenza,moderate
"numbness, fever, insomnia",3,Migraine,severe
"dizziness, insomnia, rash, nausea",4,Cardiac Arrhythmia,mild
